province_patient_route	state	min_latt	max_lonn	n
Busan	deceased	35.1407746	129.0801747	8
Busan	isolated	35.0943125	129.2433137	182
Busan	released	35.0233075	129.2034429	489
Chungcheongbuk-do	isolated	36.1727531	127.9703219	47
Chungcheongbuk-do	released	36.6084382	127.996213	94
Chungcheongnam-do	isolated	36.478695	127.2363829	71
Chungcheongnam-do	released	36.272988	127.265293	563
Daegu	deceased	35.865942	128.6051356	2
Daegu	isolated	35.8298561	128.7243776	130
Daegu	released	35.6973058	128.6512172	129
Daejeon	isolated	36.2981418	127.4528331	30
Daejeon	released	36.31695	127.434211	15
Gangwon-do	deceased	37.1767864	128.9922306	1
Gangwon-do	isolated	37.3138998	129.1890918	103
Gangwon-do	released	37.2919813	129.1208333	203
Gwangju	isolated	35.09461	127.0000917	12
Gwangju	released	35.0822971	126.937282	107
Gyeonggi-do	isolated	36.9921075	127.64148900000001	102
Gyeonggi-do	released	36.9921075	127.6371628	80
Gyeongsangbuk-do	deceased	35.6472706	128.7579819	8
Gyeongsangbuk-do	isolated	35.6472706	129.4757458	320
Gyeongsangbuk-do	released	35.6472706	129.4543407	270
Gyeongsangnam-do	isolated	34.843388	129.0263889	65
Gyeongsangnam-do	released	34.7323126	129.0275417	172
Incheon	isolated	37.3933835	126.7417162	156
Incheon	released	37.3814788	126.7375494	120
Jeju-do	isolated	33.4546419	126.7179249	13
Jeollabuk-do	isolated	35.8171336	127.1479532	5
Jeollabuk-do	released	35.8242238	127.1479532	9
Jeollanam-do	isolated	34.6366874	127.7492363	26
Jeollanam-do	released	34.5257743	127.6958882	16
Seoul	isolated	37.4518527	127.169284	1337
Seoul	released	37.4503127	127.1480988	374
Ulsan	deceased	35.5383773	129.3113596	1
Ulsan	isolated	35.5333875	129.3362736	13
Ulsan	released	35.5063834	129.4324408	48
NA	deceased	NA	NA	48
NA	isolated	NA	NA	1453
NA	released	NA	NA	688
